State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chandigarh,Chandigarh,Chandigarh (F&V),Ginger(Green),Other,FAQ,12/09/2001,800,1200,1000,103
Chandigarh,Chandigarh,Chandigarh (F&V),Ginger(Green),Other,FAQ,14/09/2001,800,1300,1050,103
Chandigarh,Chandigarh,Chandigarh (F&V),Ginger(Green),Other,FAQ,18/10/2001,800,1200,1000,103
Chandigarh,Chandigarh,Chandigarh (F&V),Ginger(Green),Other,FAQ,18/11/2001,800,1200,1000,103
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,FAQ,12/04/2001,500,660,605,1
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,FAQ,19/09/2001,600,610,605,1
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,30/03/2001,300,500,400,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,05/04/2001,300,500,400,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,14/04/2001,300,480,390,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,19/04/2001,165,450,307,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,24/04/2001,155,450,302,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,27/04/2001,235,450,342,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,08/05/2001,140,315,227,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,12/05/2001,160,310,235,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,12/06/2001,155,370,262,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,19/06/2001,150,457,303,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,24/06/2001,120,400,260,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,27/06/2001,150,450,300,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,12/07/2001,180,450,315,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,22/07/2001,200,480,340,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,23/08/2001,300,625,465,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,29/08/2001,500,700,600,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,08/09/2001,400,600,500,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,18/09/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,19/09/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,20/09/2001,400,680,540,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,22/09/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,23/09/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,27/09/2001,350,700,525,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,29/09/2001,350,700,525,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,30/09/2001,350,650,500,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,02/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,06/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,11/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,16/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,21/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,24/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,30/10/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,01/11/2001,400,700,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,07/11/2001,200,450,325,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,21/11/2001,700,1000,850,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,29/11/2001,500,600,550,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,02/12/2001,500,650,575,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,11/12/2001,400,500,450,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,13/12/2001,400,500,450,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,14/12/2001,400,500,450,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,27/12/2001,400,600,500,23
Chandigarh,Chandigarh,Chandigarh (F&V),Onion,Other,FAQ,30/12/2001,400,600,500,23
Chandigarh,Chandigarh,Chandigarh (F&V),Apple,Kasmir/Shimla - II,Large,18/07/2001,100,320,210,17
Chandigarh,Chandigarh,Chandigarh (F&V),Apple,Kasmir/Shimla - II,Large,18/09/2001,100,530,325,17
Chandigarh,Chandigarh,Chandigarh (F&V),Apple,Kasmir/Shimla - II,Large,05/10/2001,150,550,350,17
Chandigarh,Chandigarh,Chandigarh (F&V),Apple,Kasmir/Shimla - II,Large,13/10/2001,150,450,300,17
Chandigarh,Chandigarh,Chandigarh (F&V),Apple,Kasmir/Shimla - II,Large,20/10/2001,150,500,325,17
Chandigarh,Chandigarh,Chandigarh (F&V),Apple,Kasmir/Shimla - II,Large,02/11/2001,150,550,350,17
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,31/03/2001,200,400,300,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,06/04/2001,200,450,325,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,19/04/2001,250,450,350,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,25/04/2001,100,400,250,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,05/05/2001,150,500,325,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,15/09/2001,200,400,300,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,20/10/2001,150,250,200,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,21/10/2001,150,250,200,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,30/10/2001,150,260,205,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,01/11/2001,150,260,205,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,10/11/2001,150,280,215,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,24/11/2001,180,280,230,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,25/11/2001,180,280,230,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,28/11/2001,140,280,210,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,01/12/2001,140,280,210,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,11/12/2001,140,300,220,18
Chandigarh,Chandigarh,Chandigarh (F&V),Orange,Other,Large,22/12/2001,120,270,185,18
