State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Sikkim,East,Gangtok,Ginger(Dry),Vegitable-fresh,FAQ,22/11/2007,1400,1600,1500,27
Sikkim,East,Gangtok,Potato,Local,FAQ,22/11/2007,1000,1700,1350,24
Sikkim,East,Gangtok,Ginger(Dry),Vegitable-fresh,FAQ,20/11/2007,550,650,600,27
Sikkim,East,Gangtok,Potato,Other,FAQ,28/11/2007,1000,1700,1350,24
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,04/02/2006,1150,1200,1175,320
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,20/02/2006,1100,1150,1125,320
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,21/02/2006,1150,1250,1200,320
Sikkim,East,Rangpo,Cardamoms,Big,FAQ,18/06/2004,4100,4500,4300,40
Sikkim,East,Rangpo,Orange,Sikkim Mandrin,Medium,11/12/2009,1800,2000,2000,18
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,15/06/2009,1600,2000,1800,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,28/05/2009,1000,2000,1500,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,29/05/2009,2000,3000,2500,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,07/09/2009,2500,2700,2600,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,30/10/2009,1850,2150,2000,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,06/11/2009,2025,2175,2112.5,27
Sikkim,East,Rangpo,Ginger(Dry),Unbleached,FAQ,06/07/2009,2500,2700,2600,27
Sikkim,East,Rangpo,French Beans (Frasbean),Other,FAQ,27/07/2009,3500,4000,3750,298
Sikkim,East,Rangpo,French Beans (Frasbean),Other,FAQ,30/11/2009,2000,2500,2200,298
Sikkim,East,Rangpo,Potato,Local,FAQ,07/12/2009,2000,2300,2300,24
Sikkim,East,Rangpo,Potato,Local,FAQ,14/12/2009,1700,2000,2000,24
Sikkim,East,Rangpo,Potato,Other,FAQ,31/08/2009,2000,2400,2200,24
Sikkim,East,Rangpo,Potato,Other,FAQ,30/11/2009,2200,2500,2400,24
Sikkim,East,Rangpo,Cardamoms,Big,FAQ,29/08/2005,3400,3500,3450,40
Sikkim,East,Rangpo,Cardamoms,Big,FAQ,30/08/2005,8250,8750,8500,40
Sikkim,East,Rangpo,Cardamoms,Big,FAQ,05/10/2005,8500,10000,9250,40
Sikkim,East,Rangpo,Flower Broom,Other,FAQ,28/01/2010,3375,3500,3400,365
Sikkim,East,Rangpo,Tomato,Local,FAQ,15/06/2009,1500,1600,1550,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,27/07/2009,2000,2500,2250,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,03/08/2009,1800,2000,1900,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,07/09/2009,2500,3000,2575,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,14/09/2009,2000,2200,2100,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,14/12/2009,1900,2000,2000,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,24/12/2009,1600,2000,1800,78
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,12/06/2004,2000,2500,2250,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,13/06/2004,1200,1500,1350,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,30/06/2004,1750,1850,1800,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,03/07/2004,1750,1850,1800,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,07/07/2004,1750,1850,1800,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,10/07/2004,1875,2500,2188,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,19/07/2004,2250,3000,2625,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,22/07/2004,2250,3000,2625,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,27/12/2004,1700,1750,1725,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,31/08/2005,1550,1750,1650,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,24/09/2005,1625,1750,1688,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,28/09/2005,1275,1600,1437.5,27
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,11/01/2007,1450,1500,1475,320
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,09/02/2007,1500,1550,1525,320
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,14/02/2007,1575,1625,1600,320
Sikkim,East,Rangpo,Ginger(Dry),Big/Thick,FAQ,30/11/2009,2150,2300,2300,27
Sikkim,East,Rangpo,Ginger(Dry),Big/Thick,FAQ,07/12/2009,2125,2200,2125,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,20/07/2009,3000,3150,3075,27
Sikkim,East,Rangpo,French Beans (Frasbean),Other,FAQ,08/06/2009,1800,2200,2000,298
Sikkim,East,Rangpo,Potato,Local,FAQ,03/08/2009,2000,2200,2100,24
Sikkim,East,Rangpo,Potato,Local,FAQ,14/09/2009,2200,2400,2300,24
Sikkim,East,Rangpo,Potato,Local,FAQ,17/11/2009,2200,2500,2400,24
Sikkim,East,Rangpo,Potato,Local,FAQ,24/12/2009,1400,1800,1800,24
Sikkim,East,Rangpo,Potato,Other,FAQ,08/06/2009,1200,2000,1600,24
Sikkim,East,Rangpo,Potato,Other,FAQ,06/07/2009,1900,2000,1950,24
Sikkim,East,Rangpo,Cucumbar(Kheera),Other,FAQ,31/08/2009,1500,1800,1650,159
Sikkim,East,Rangpo,Cabbage,Cabbage,FAQ,03/08/2009,1600,1800,1700,154
Sikkim,East,Rangpo,Raddish,Raddish,FAQ,14/09/2009,1500,2000,1650,161
Sikkim,East,Rangpo,Orange,Sikkim Mandrin,Medium,10/12/2009,2000,2200,2100,18
Sikkim,East,Rangpo,Orange,Sikkim Mandrin,Medium,28/12/2009,1900,2100,2000,18
Sikkim,East,Rangpo,Bitter gourd,Bitter Gourd,FAQ,31/08/2009,3600,4000,4000,81
Sikkim,East,Rangpo,Bitter gourd,Bitter Gourd,FAQ,14/09/2009,1800,2000,1900,81
Sikkim,East,Rangpo,Tomato,Local,FAQ,01/06/2009,1800,2000,1900,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,19/07/2009,2000,2500,2250,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,26/10/2009,1900,2000,1950,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,06/11/2009,1800,2000,1900,78
Sikkim,East,Rangpo,Tomato,Local,FAQ,30/11/2009,3500,4000,4000,78
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,22/09/2005,1500,1875,1688,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,26/09/2005,1550,1750,1650,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,29/09/2005,1300,1650,1475,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,08/10/2005,1250,1300,1275,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,18/10/2005,1375,1550,1462,27
Sikkim,East,Rangpo,Pear(Marasebu),Other,Medium,01/09/2005,1250,1400,1325,330
Sikkim,East,Rangpo,Potato,Other,FAQ,24/09/2005,1000,1200,1100,24
Sikkim,East,Rangpo,Cardamoms,Big,FAQ,02/09/2005,8275,8750,8513,40
Sikkim,East,Rangpo,Cardamoms,Big,FAQ,23/09/2005,7500,8300,7900,40
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,01/10/2007,750,850,800,27
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,02/02/2007,1550,1600,1575,320
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,03/02/2006,1200,1250,1225,320
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,09/02/2006,1150,1200,1175,320
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,19/11/2006,750,800,775,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,29/11/2006,775,825,800,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,12/12/2006,700,750,725,27
Sikkim,East,Rangpo,Ginger(Dry),Big/Thick,FAQ,11/01/2010,2250,2375,2300,27
Sikkim,East,Rangpo,Tomato,Local,FAQ,11/01/2010,1400,1600,1500,78
Sikkim,East,Rangpo,Wheat,Deshi,FAQ,06/06/2004,3250,3500,3375,1
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,17/06/2004,1250,1500,1375,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,21/06/2004,1100,1300,1200,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,08/07/2004,1875,2500,2188,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,31/12/2004,1800,2000,1900,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,06/05/2004,2700,2750,2725,27
Sikkim,East,Rangpo,Broomstick(Flower Broom),Other,FAQ,17/06/2004,1000,1200,1100,320
Sikkim,East,Rangpo,Orange,Sikkim Mandrin,Small,05/01/2010,1000,1200,1200,18
Sikkim,East,Rangpo,Raddish,Raddish,FAQ,27/07/2009,1500,2000,1750,161
Sikkim,East,Rangpo,Ginger(Dry),Big/Thick,FAQ,17/11/2009,2000,2125,2000,27
Sikkim,East,Rangpo,Ginger(Dry),Big/Thick,FAQ,18/11/2009,2000,2150,2000,27
Sikkim,East,Rangpo,Ginger(Dry),Big/Thick,FAQ,28/12/2009,1750,1875,1800,27
Sikkim,East,Rangpo,Ginger(Dry),Other,FAQ,14/07/2009,2250,2500,2375,27
Sikkim,East,Rangpo,Ginger(Dry),Fresh Unbleached,FAQ,08/06/2004,3000,3750,3375,27
