State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,06/06/2017,1200,1400,1300,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,20/06/2017,1300,1500,1400,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,26/06/2017,1300,1500,1400,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,11/07/2017,1300,1400,1350,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,15/07/2017,1350,1450,1400,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,21/07/2017,1350,1370,1360,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,22/07/2017,1400,1420,1410,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,24/07/2017,1300,1340,1320,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,26/07/2017,1300,2300,1800,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,06/08/2017,1600,2600,2100,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,19/08/2017,2700,3500,3100,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,26/08/2017,3300,4000,3400,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,11/09/2017,3000,4400,3700,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,12/09/2017,3100,4300,3700,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,17/09/2017,2900,4900,3900,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,23/09/2017,2600,4600,3600,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,19/10/2017,3500,5500,4500,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,27/10/2017,4000,5000,4500,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,23/11/2017,4500,6000,5500,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,03/12/2017,5500,6500,6000,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,04/12/2017,5500,6000,5750,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,05/12/2017,4500,6500,5500,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,07/12/2017,5500,6000,5750,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,08/12/2017,5500,6000,5750,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,12/12/2017,6000,7000,6500,23
Arunachal Pradesh,Papum Pore,Naharlagun,Onion,Onion,FAQ,31/12/2017,6000,6200,6100,23
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,30/05/2017,650,1000,850,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,08/06/2017,1000,1200,1100,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,16/06/2017,1100,1300,1200,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,15/07/2017,950,970,960,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,17/07/2017,950,970,960,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,03/08/2017,900,2100,1500,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,04/08/2017,900,2100,1500,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,11/08/2017,950,3000,1900,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,09/09/2017,900,2300,1600,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,09/10/2017,850,2050,1450,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,30/10/2017,900,1900,1400,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,11/11/2017,950,1950,1450,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,19/11/2017,1000,3000,2000,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,23/11/2017,850,2050,1450,24
Arunachal Pradesh,Papum Pore,Naharlagun,Potato,Potato,FAQ,29/12/2017,2400,3000,2700,24
Arunachal Pradesh,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,21/06/2017,3500,4000,3750,78
Arunachal Pradesh,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,23/06/2017,3400,3700,3600,78
Arunachal Pradesh,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,03/07/2017,3800,4200,4000,78
